Province,Basin,Section_name,Monitoring_time,Water_quality_class,Water_temperature(°C),pH,Dissolved_oxygen(mg/L),Electrical_conductivity(μS/cm),Turbidity(NTU),COD_Mn(mg/L),NH3-N(mg/L),TP(mg/L),TN(mg/L),Chlorophyll_a(mg/L),Algae_density(cells/L)
湖北省,Yangtze River Basin,丹江口水库坝上中,09-27 00:00,1,25.1,8,7.4,234.2,3.4,0.8,0.07,0.011,0.71,0.092,12313000
湖北省,Yangtze River Basin,隔河岩水库坝上,09-27 00:00,1,21.8,8,6.7,190.5,3.4,1.0,0.02,0.007,1.65,0.431,2615445
湖北省,Yangtze River Basin,梁子岛水源(七星),09-27 00:00,3,27.3,8,8.9,171.1,62.4,5.2,0.07,0.060,0.98,0.017,167693000
湖北省,Yangtze River Basin,漳河水库库心,09-27 00:00,0,25.5,8,8.3,307.1,1.7,1.9,0.02,0.005,0.53,0.001,4830935
湖北省,Yangtze River Basin,湖心A(洪湖湖心A),09-27 00:00,3,27.8,8,9.2,385.3,145.0,6.2,0.02,0.100,1.21,0.006,105037500
湖北省,Yangtze River Basin,杨柴湖,09-27 00:00,3,26.4,8,4.7,371.9,99.4,6.1,0.08,0.069,0.71,0.010,6181630
湖北省,Yangtze River Basin,排水闸,09-27 00:00,3,26.5,8,7.3,356.8,80.6,5.7,0.02,0.085,1.43,0.008,56982430
湖北省,Yangtze River Basin,湖心B(洪湖湖心B),09-27 00:00,3,27.3,8,8.4,350.1,74.8,6.7,0.10,0.096,1.07,0.016,68856
湖北省,Yangtze River Basin,咸宁湖心,09-27 00:00,3,25.7,9,9.6,208.3,59.1,8.3,0.29,0.088,1.43,0.007,69623830
湖北省,Yangtze River Basin,富水水库,09-27 00:00,1,27.4,8,7.8,151.7,10.7,3.8,0.02,0.022,0.56,0.009,31402000
湖南省,Yangtze River Basin,岳阳楼,09-27 00:00,3,27.6,8,6.8,242.3,47.8,1.9,0.02,0.072,1.44,0.004,247749
湖南省,Yangtze River Basin,蒋家嘴,09-27 00:00,2,23.6,8,6.0,209.3,28.6,1.1,0.07,0.026,1.58,0.005,28124000
湖南省,Yangtze River Basin,万家嘴,09-27 00:00,1,27.9,8,8.3,221.4,9.1,2.0,0.02,0.046,1.48,0.003,369556
湖南省,Yangtze River Basin,南嘴,09-27 00:00,3,27.1,8,6.6,312.7,87.1,1.7,0.02,0.051,1.40,0.005,615723
湖南省,Yangtze River Basin,小河嘴,09-27 00:00,2,27.0,8,11.7,230.3,30.9,1.7,0.03,0.031,1.05,0.001,51438900
湖南省,Yangtze River Basin,大通湖,09-27 00:00,3,25.8,9,11.1,323.0,44.5,4.3,0.02,0.099,1.05,0.001,22227600
湖南省,Yangtze River Basin,头山,09-27 00:00,1,26.3,8,7.2,104.5,1.7,1.1,0.02,0.005,0.55,0.011,1488000
广东省,Pearl River Basin,渠首,09-27 00:00,2,29.2,7,5.4,103.8,21.4,4.8,0.04,0.026,1.04,0.015,51891310
广东省,Pearl River Basin,良德水库,09-27 00:00,1,29.7,7,6.0,67.1,3.4,1.4,0.02,0.011,0.20,0.005,2532450
广西壮族自治区,Pearl River Basin,龙岩滩水库,09-26 20:00,2,29.8,9,15.0,241.3,18.6,2.2,0.02,0.029,1.62,0.002,2682201
海南省,Pearl River Basin,大隆水库出口,09-26 20:00,1,28.6,7,6.7,108.6,8.8,2.5,0.02,0.016,0.98,0.011,9157550.00
海南省,Pearl River Basin,松涛水库南丰库心,09-27 00:00,0,28.8,8,8.1,84.0,1.4,1.3,0.02,0.007,0.17,0.007,1671665
海南省,Pearl River Basin,大广坝水库库心,09-26 20:00,3,26.5,7,7.9,71.3,104.8,3.4,0.02,0.096,1.72,0.006,7688450
重庆市,Yangtze River Basin,玉滩水库,09-27 00:00,2,31.0,8,7.0,332.4,6.1,4.8,0.02,0.016,0.49,0.047,5886771
四川省,Yangtze River Basin,邛海湖心,09-26 20:00,1,25.9,8,6.7,311.9,2.4,2.2,0.02,0.012,0.20,0.003,28761
贵州省,Yangtze River Basin,贵铝泵房,09-27 00:00,1,26.3,9,9.0,396.0,20.7,3.2,0.02,0.019,1.50,0.018,2014382
贵州省,Yangtze River Basin,花鱼洞,09-27 00:00,3,24.6,8,3.6,314.4,6.3,2.4,0.02,0.015,1.06,0.005,2569748
云南省,Pearl River Basin,阳宗海中,09-27 00:00,2,24.0,8,7.5,420.0,2.5,3.8,0.04,0.029,0.44,0.007,816277
云南省,Dianchi Lake Basin,草海中心,09-27 00:00,3,23.5,8,10.5,423.6,58.3,9.9,0.02,0.088,2.54,0.016,78374000
云南省,Dianchi Lake Basin,灰湾中,09-26 20:00,3,23.0,8,8.9,519.9,4.9,7.4,0.29,0.050,0.82,0.005,23101680
云南省,Dianchi Lake Basin,罗家营,09-27 00:00,3,23.3,9,9.8,501.7,13.6,8.5,0.15,0.047,1.29,0.005,50208700
云南省,Dianchi Lake Basin,观音山东,09-26 20:00,3,24.0,9,11.1,539.2,12.1,6.8,0.19,0.064,1.38,0.004,81458500
云南省,Dianchi Lake Basin,观音山中,09-27 00:00,3,22.1,8,6.5,517.5,14.6,7.2,0.41,0.041,1.68,0.006,89207600
云南省,Dianchi Lake Basin,观音山西,09-27 00:00,3,22.7,8,6.5,503.6,0,7.6,0.38,0.048,1.72,0,97126000
云南省,Dianchi Lake Basin,海口西,09-27 00:00,3,24.4,9,11.0,506.7,14.7,8.1,0.24,0.047,1.23,0.009,44313100
云南省,Dianchi Lake Basin,滇池南,09-27 00:00,3,22.3,8,6.5,509.6,15.0,6.9,0.20,0.034,1.40,0.003,16779100
云南省,Dianchi Lake Basin,白鱼口,09-27 00:00,3,22.6,8,6.4,538.7,20.5,7.5,0.39,0.065,1.10,0.004,29926690
云南省,Dianchi Lake Basin,断桥,09-27 00:00,3,24.0,8,11.7,500.7,36.1,5.0,0.02,0.060,4.63,0.008,53018970
云南省,Pearl River Basin,抚仙湖心,09-27 00:00,0,23.4,9,8.7,321.4,2.5,1.4,0.02,0.008,0.13,0.002,223699
云南省,Pearl River Basin,星云湖心,09-27 00:00,3,24.1,9,11.1,637.4,16.9,7.6,0.02,0.097,1.27,0.007,22438350
云南省,Yangtze River Basin,程海湖中,09-26 20:00,2,26.2,9,6.5,1368.5,2.1,5.3,0.02,0.015,0.81,0.005,22768
云南省,Yangtze River Basin,泸沽湖湖心(泸沽湖),09-27 00:00,0,20.5,9,8.3,206.5,2.7,1.0,0.02,0.005,0.21,0.006,784437
云南省,Pearl River Basin,异龙湖中,09-27 00:00,4,24.9,9,9.6,545.7,9.4,12.3,0.03,0.042,1.70,0.012,43842500
云南省,Southwest Rivers,洱海湖心,09-27 00:00,3,23.8,9,4.7,267.7,11.0,7.6,0.02,0.062,0.43,0.031,44048800
陕西省,Yangtze River Basin,石门水库,09-27 00:00,2,25.6,8,5.2,274.7,10.5,1.4,0.02,0.016,0.71,0.041,3130909
陕西省,Yangtze River Basin,瀛湖坝前,09-27 00:00,1,28.5,8,6.1,253.0,5.5,2.1,0.02,0.015,0.90,0.006,704961
甘肃省,Northwest Rivers,红崖山水库,09-26 20:00,1,18.3,8,6.7,437.1,68.6,1.1,0.06,0.020,1.03,0.008,2200231
甘肃省,Northwest Rivers,解放村水库,09-26 20:00,1,17.9,8,9.2,675.3,26.0,0.9,0.15,0.014,1.11,0.004,44995
青海省,Yellow River Basin,龙羊峡库区出水口,09-26 20:00,0,13.0,8,7.6,471.5,3.3,1.2,0.02,0.006,0.65,0.003,155563
宁夏回族自治区,Yellow River Basin,鸭子荡水库,09-27 00:00,1,19.5,9,9.4,780.0,5.7,2.3,0.02,0.009,1.20,0.005,1038420
宁夏回族自治区,Yellow River Basin,沙湖,09-27 00:00,2,20.9,9,10.9,1653.9,19.5,5.3,0.02,0.025,0.08,0.018,5584990
宁夏回族自治区,Yellow River Basin,香山湖,09-27 00:00,1,21.5,9,8.8,652.2,7.7,2.1,0.02,0.005,0.95,0.006,2906328
新疆维吾尔自治区,Northwest Rivers,赛湖2,09-26 20:00,0,13.4,9,8.5,2918.0,8.5,0.6,0.10,0.009,0.35,0.010,20804
新疆维吾尔自治区,Northwest Rivers,博湖5,09-27 00:00,2,22.1,9,8.3,1304.0,1.9,4.9,0.02,0.005,0.40,0.003,1147331
新疆维吾尔自治区,Northwest Rivers,博湖7,09-27 00:00,2,21.7,8,8.4,1014.4,2.7,5.7,0.02,0.011,0.46,0.006,5027557
新疆维吾尔自治区,Northwest Rivers,博湖14,09-27 00:00,2,22.2,9,7.4,1299.9,4.2,5.1,0.02,0.010,0.36,0.005,606724
新疆维吾尔自治区,Northwest Rivers,乌伦古湖码头,09-26 20:00,2,18.8,8,8.6,0,17.1,4.3,0.02,0.026,0.76,0.006,467302
天津市,Hai River Basin,于桥水库库中心,09-28 00:00,2,22.0,9,9.1,474.6,2.8,5.6,0.02,0.022,2.22,0.021,6003720
河北省,Hai River Basin,姜各庄,09-28 00:00,1,18.2,8,8.6,584.6,25.2,2.3,0.02,0.053,4.11,0.036,6325208
河北省,Hai River Basin,衡水湖大湖心,09-28 00:00,2,23.2,9,7.7,1229.4,27.0,5.4,0.02,0.027,0.65,0.009,12698650
河北省,Hai River Basin,南刘庄,09-28 00:00,3,22.5,8,4.2,606.3,9.4,4.6,0.02,0.033,2.73,0.005,2745359
河北省,Hai River Basin,烧车淀,09-28 00:00,1,22.5,8,6.8,0,4.1,2.2,0.02,0.024,3.58,0.002,155949
河北省,Hai River Basin,圈头,09-28 00:00,2,22.7,8,7.8,626.2,2.3,4.8,0.02,0.028,0.51,0.005,3022705
河北省,Hai River Basin,采蒲台,09-28 00:00,2,22.4,8,7.3,840.0,7.1,5.1,0.02,0.026,0.52,0.003,9199626
河北省,Hai River Basin,光淀张庄,09-28 00:00,2,22.5,8,5.3,556.3,8.3,2.5,0.02,0.016,2.96,0.003,672004
山西省,Yellow River Basin,汾河水库出口,09-28 00:00,1,19.7,9,6.1,628.0,9.8,2.3,0.02,0.005,1.12,0.010,416327
内蒙古自治区,Songhua River Basin,小河口,09-28 00:00,5,15.5,9,9.4,1148.8,124.3,19.4,0.27,0.234,1.52,0.057,45598000
吉林省,Songhua River Basin,大丰满,09-28 00:00,2,19.4,7,6.4,148.7,29.1,4.8,0.02,0.040,2.14,0.004,1113949
吉林省,Songhua River Basin,沙石浒,09-28 00:00,3,20.0,7,6.1,121.5,50.1,5.2,0.02,0.063,2.78,0.002,9005559
吉林省,Songhua River Basin,小荒地,09-28 00:00,3,19.6,7,7.2,110.6,66.2,4.9,0.02,0.076,3.03,0.007,2705288
黑龙江省,Songhua River Basin,磨盘山水库出口,09-28 00:00,2,18.1,7,9.3,67.0,5.8,5.5,0.02,0.038,2.56,0.002,1531900
黑龙江省,Songhua River Basin,档壁镇,09-27 20:00,2,17.1,7,9.1,131.6,73.0,4.1,0.92,0.039,0.05,0.030,14016
黑龙江省,Songhua River Basin,三道,09-28 00:00,4,19.9,7,6.6,110.3,100.2,5.3,0.05,0.117,3.33,0.031,25344
黑龙江省,Songhua River Basin,电视塔,09-28 00:00,3,19.6,6,5.1,83.8,48.4,6.5,0.02,0.095,1.87,0.014,72704
上海市,Lake Tai Basin,急水港桥,09-28 00:00,3,26.1,7,4.5,309.0,48.8,4.3,0.18,0.088,1.36,0.007,4307000
江苏省,Yangtze River Basin,石臼湖省界湖心,09-28 00:00,3,24.4,9,10.0,200.9,47.9,6.4,0.02,0.090,0.87,0.034,158172000
江苏省,Lake Tai Basin,锡东水厂,09-27 20:00,3,25.2,8,7.0,352.3,100.4,3.0,0.02,0.054,1.27,0.005,3977050
江苏省,Lake Tai Basin,兰山嘴,09-28 00:00,3,25.5,7,7.4,281.0,34.9,3.8,0.02,0.098,1.54,0.006,7100461
江苏省,Lake Tai Basin,拖山,09-28 00:00,3,24.6,8,7.6,333.8,31.1,3.8,0.02,0.080,1.71,0.014,2033661
江苏省,Lake Tai Basin,五里湖心,09-28 00:00,3,24.4,7,6.7,302.7,33.0,4.0,0.14,0.053,1.34,0.009,8007250
江苏省,Lake Tai Basin,胥湖心,09-28 00:00,1,25.4,9,8.8,343.5,30.7,2.3,0.02,0.015,0.15,0.002,2726270
江苏省,Lake Tai Basin,乌龟山南,09-28 00:00,2,25.0,8,7.6,483.3,64.7,2.1,0.02,0.038,0.92,0.003,21828300
江苏省,Lake Tai Basin,阳澄湖心,09-28 00:00,3,25.3,8,10.6,372.7,18.3,6.3,0.02,0.032,0.58,0.020,14185400
江苏省,Huai River Basin,老山乡,09-28 00:00,3,25.7,8,8.3,550.3,53.2,3.6,0.02,0.069,2.10,0.010,9833360
江苏省,Huai River Basin,蒋坝镇,09-28 00:00,2,24.9,8,9.8,622.6,22.1,4.7,0.06,0.021,1.04,0.015,9898900
江苏省,Huai River Basin,高良涧镇,09-28 00:00,3,24.4,8,8.3,579.4,54.7,4.6,0.02,0.068,0.72,0.023,8742630
江苏省,Huai River Basin,洪金,09-28 00:00,3,24.5,7,4.8,446.7,25.0,6.8,0.02,0.065,0.97,0.019,14638000
江苏省,Huai River Basin,临淮乡,09-28 00:00,4,25.1,8,7.6,391.6,60.0,5.9,0.05,0.111,2.16,0.018,8314881
江苏省,Huai River Basin,成河乡中,09-28 00:00,3,24.2,8,8.0,348.7,113.6,4.5,0.02,0.084,2.35,0.031,14627300
江苏省,Huai River Basin,龙集镇北,09-28 00:00,2,24.8,8,8.8,586.6,41.3,3.0,0.02,0.044,0.92,0.015,18222800
江苏省,Huai River Basin,骆马湖乡,09-28 00:00,2,22.0,8,9.3,611.5,27.1,4.8,0.03,0.038,2.11,0.016,6263669
江苏省,Huai River Basin,三场,09-28 00:00,2,24.2,8,9.0,665.8,85.2,5.4,0.03,0.050,1.45,0.014,18697410
浙江省,Zhejiang-Fujian Rivers,北湖中心,09-27 20:00,3,24.9,6,4.9,84.7,32.3,3.3,0.06,0.034,1.11,0.007,600181
浙江省,Zhejiang-Fujian Rivers,铜山源水库,09-27 20:00,1,27.5,8,7.2,81.1,2.1,1.3,0.02,0.019,0.18,0.039,16779000
浙江省,Zhejiang-Fujian Rivers,里石门水库,09-28 00:00,1,26.6,7,6.8,67.9,2.7,1.7,0.02,0.008,0.35,0.006,4551241
安徽省,Chao Lake Basin,湖滨,09-28 00:00,4,25.2,8,6.2,323.7,74.6,4.0,0.02,0.147,2.07,0.004,6481121
安徽省,Chao Lake Basin,黄麓,09-28 00:00,3,24.9,8,8.6,287.8,43.4,4.5,0.02,0.053,0.46,0.026,24338440
安徽省,Chao Lake Basin,靠近大坝,09-28 00:00,1,25.9,8,7.2,113.5,10.5,3.0,0.10,0.023,0.43,0.020,10959920
安徽省,Chao Lake Basin,新河入湖区,09-28 00:00,4,23.3,8,7.6,312.2,70.0,5.9,0.02,0.160,1.19,0.006,80031220
安徽省,Chao Lake Basin,西半湖湖心,09-28 00:00,4,24.4,8,6.6,319.0,98.8,4.8,0.02,0.162,1.39,0.005,5663671
安徽省,Chao Lake Basin,龟山,09-28 00:00,3,25.6,8,6.6,285.1,74.2,4.8,0.07,0.073,1.65,0.020,17481100
安徽省,Chao Lake Basin,东半湖湖心,09-28 00:00,3,25.3,8,7.7,316.1,29.2,4.4,0.06,0.055,0.62,0.029,7331256
安徽省,Chao Lake Basin,忠庙,09-28 00:00,4,25.0,8,6.5,297.5,61.5,5.3,0.02,0.151,1.52,0.006,1073567
安徽省,Chao Lake Basin,兆河入湖区,09-28 00:00,3,24.6,8,7.9,266.6,44.8,4.6,0.02,0.097,1.64,0.004,55314550
安徽省,Huai River Basin,瓦埠湖,09-28 00:00,3,24.3,8,5.9,293.3,90.4,4.7,0.02,0.060,0.87,0.008,10572320
安徽省,Huai River Basin,焦岗湖,09-28 00:00,3,24.8,8,5.0,819.2,68.8,6.3,0.06,0.080,0.79,0.010,13128280
安徽省,Yangtze River Basin,龙感湖湖心（皖）,09-28 00:00,3,22.4,8,7.3,204.7,112.4,5.9,0.02,0.093,0.72,0.027,43701280
安徽省,Yangtze River Basin,武昌湖,09-27 20:00,2,26.3,8,7.4,134.3,9.1,3.3,0.02,0.038,0.70,0.014,13941890
安徽省,Yangtze River Basin,花亭湖坝前,09-27 20:00,1,28.2,8,6.9,107.5,1.3,1.9,0.02,0.011,0.42,0.006,486134
安徽省,Yangtze River Basin,大官湖,09-28 00:00,3,24.2,8,8.7,221.7,74.6,7.1,0.03,0.081,0.91,0.011,35656720
安徽省,Yangtze River Basin,黄湖,09-28 00:00,3,24.1,8,7.9,291.4,68.5,4.8,0.04,0.062,1.80,0.011,24003080
安徽省,Yangtze River Basin,太平湖湖心,09-28 00:00,1,27.6,8,6.7,91.9,0,2.2,0.02,0.008,0.18,0.004,9353971
安徽省,Yangtze River Basin,升金湖中心点,09-28 00:00,3,25.6,8,6.9,246.9,154.3,5.5,0.03,0.067,0.46,0.004,26709730
安徽省,Yangtze River Basin,南漪湖西湖湖心,09-28 00:00,3,25.3,8,8.7,160.3,37.9,6.3,0.03,0.075,1.33,0.057,144622800
福建省,Zhejiang-Fujian Rivers,山美水库库心,09-28 00:00,1,30.6,8,8.2,113.2,3.4,1.7,0.02,0.015,1.31,0.028,10409300
江西省,Yangtze River Basin,南矶山,09-28 00:00,5,29.1,7,0.02,182.4,126.4,6.0,0.51,0.144,1.06,0.01,19047820
江西省,Yangtze River Basin,蛤蟆石,09-27 20:00,3,27.4,7,5.7,168.7,150.1,2.2,0.02,0.074,1.68,0.001,558140
江西省,Yangtze River Basin,都昌,09-27 20:00,3,28.6,7,4.9,173.0,120.0,2.6,0.07,0.063,1.94,0.009,7669141
江西省,Yangtze River Basin,仙女湖湖心岛,09-28 00:00,3,27.8,8,8.0,239.5,7.3,4.4,0.23,0.062,0.76,0.028,27977330
江西省,Yangtze River Basin,康山,09-28 00:00,3,26.2,7,6.7,141.4,52.1,1.8,0.12,0.082,1.18,0.009,710776
山东省,Huai River Basin,崂山水库中心,09-27 20:00,1,24.4,8,6.0,235.5,4.1,3.8,0.02,0.018,2.08,0.026,2327000
山东省,Huai River Basin,峡山水库库中,09-28 00:00,2,23.3,8,6.6,643.8,33.3,5.2,0.06,0.040,0.77,0.005,11621600.00
山东省,Huai River Basin,二级坝,09-28 00:00,3,24.6,8,4.5,803.6,6.2,4.8,0.09,0.036,1.15,0.028,13500000
山东省,Huai River Basin,云蒙湖湖心,09-28 00:00,2,25.2,8,8.3,422.3,4.3,3.9,0.02,0.036,6.61,0.008,3941370
山东省,Hai River Basin,北湖,09-28 00:00,1,24.6,9,10.2,929.6,4.7,3.4,0.02,0.015,1.35,0.016,17912840
河南省,Huai River Basin,白龟山水库,09-28 00:00,1,24.1,8,6.4,407.5,7.7,3.6,0.02,0.024,0.48,0.025,4373800
河南省,Huai River Basin,昭平台水库,09-27 20:00,1,24.8,9,9.4,249.1,10.7,2.8,0.02,0.016,0.40,0.022,1981414
河南省,Yangtze River Basin,五龙泉,09-28 00:00,1,26.5,8,7.3,257.5,7.7,2.2,0.02,0.017,0.84,0.007,913966
河南省,Yangtze River Basin,宋岗,09-28 00:00,1,26.5,8,6.5,298.1,3.3,1.8,0.02,0.007,0.89,0.006,1179070
河南省,Yangtze River Basin,陶岔,09-28 00:00,0,26.8,8,7.7,267.9,3.3,1.8,0.02,0.006,0.91,0.009,890865
河南省,Huai River Basin,鲇鱼山水库大坝北,09-27 20:00,1,25.3,8,7.9,92.6,1.4,2.7,0.02,0.012,0.37,0.011,5206801
河南省,Yellow River Basin,南山,09-27 20:00,1,22.5,8,8.2,996.5,10.1,1.6,0.02,0.015,3.29,0.008,2804833
湖北省,Yangtze River Basin,江夏湖心,09-28 00:00,4,25.7,8,6.5,223.2,78.0,9.1,0.32,0.101,1.37,0.017,81823430
湖北省,Yangtze River Basin,西梁子湖湖心（南北嘴）,09-28 00:00,2,26.9,8,7.8,167.1,27.9,5.3,0.08,0.036,1.10,0.003,38226160
湖北省,Yangtze River Basin,牛山湖湖心,09-28 00:00,3,26.4,9,10.2,194.1,15.6,7.2,0.02,0.036,0.60,0.004,30325780
湖北省,Yangtze River Basin,西梁子湖湖北,09-28 00:00,2,25.2,8,6.4,170.6,25.6,4.4,0.13,0.035,0.92,0.005,29206350
湖北省,Yangtze River Basin,西梁子湖湖南,09-28 00:00,2,25.3,9,9.5,164.4,27.5,5.5,0.02,0.045,0.57,0.006,72292540
湖北省,Yangtze River Basin,丹江口水库坝上中,09-28 00:00,1,24.8,8,7.0,236.5,2.2,1.1,0.11,0.010,0.71,0.094,11761000
湖北省,Yangtze River Basin,隔河岩水库坝上,09-28 00:00,1,22.0,8,6.6,192.0,2.6,1.0,0.02,0.007,1.69,0.431,2488799
湖北省,Yangtze River Basin,梁子岛水源(七星),09-28 00:00,3,26.6,8,5.0,173.4,56.7,4.6,0.08,0.057,0.97,0.020,157633000
湖北省,Yangtze River Basin,漳河水库库心,09-28 00:00,0,25.6,8,8.5,306.9,1.6,1.9,0.02,0.005,0.50,0.001,4731851
湖北省,Yangtze River Basin,湖心A(洪湖湖心A),09-28 00:00,4,28.5,8,5.7,368.0,224.9,7.4,0.20,0.116,0,0.005,141484700
湖北省,Yangtze River Basin,杨柴湖,09-28 00:00,3,26.8,8,3.2,377.6,134.2,6.9,0.02,0.080,0.72,0.009,7497920
湖北省,Yangtze River Basin,排水闸,09-28 00:00,3,26.8,8,6.6,361.7,62.2,5.3,0.02,0.073,1.46,0.008,47354740
湖北省,Yangtze River Basin,湖心B(洪湖湖心B),09-28 00:00,3,28.6,8,7.8,358.8,89.4,5.4,0.10,0.090,0.88,0.009,67567
湖北省,Yangtze River Basin,白莲河水库坝上,09-27 20:00,2,28.3,7,7.1,93.7,5.3,2.5,0.02,0.047,0.37,0.012,24136470
湖北省,Yangtze River Basin,咸宁湖心,09-28 00:00,3,25.8,8,7.2,211.1,80.7,8.4,0.35,0.091,1.46,0.007,65178390
湖北省,Yangtze River Basin,富水水库,09-28 00:00,1,27.8,8,8.6,150.3,9.9,3.7,0.02,0.020,0.59,0.011,30202000
湖南省,Yangtze River Basin,岳阳楼,09-28 00:00,3,27.9,8,6.8,241.5,48.2,1.7,0.02,0.077,1.37,0.003,249780
湖南省,Yangtze River Basin,蒋家嘴,09-28 00:00,2,25.4,8,5.9,211.4,26.8,0.9,0.05,0.029,0.94,0.005,30937000
湖南省,Yangtze River Basin,万家嘴,09-28 00:00,1,28.9,8,9.1,216.0,10.4,2.0,0.02,0.043,1.48,0.002,405542
湖南省,Yangtze River Basin,万子湖,09-28 00:00,3,27.9,8,7.9,220.0,61.5,1.2,0.02,0.059,1.50,0.005,9146500
湖南省,Yangtze River Basin,南嘴,09-28 00:00,2,27.6,8,6.5,284.2,94.8,1.6,0.02,0.041,1.38,0.006,741118
湖南省,Yangtze River Basin,小河嘴,09-28 00:00,2,28.3,8,8.5,233.6,34.1,1.7,0.02,0.037,1.13,0.001,51787000
湖南省,Yangtze River Basin,大通湖,09-28 00:00,3,27.4,9,10.6,324.7,36.0,3.8,0.02,0.085,1.08,0.001,9396780
湖南省,Yangtze River Basin,头山,09-28 00:00,0,26.8,8,7.5,104.9,1.4,1.1,0.02,0.005,0.54,0.012,1493000
广东省,Pearl River Basin,渠首,09-28 00:00,3,29.2,7,4.7,104.0,19.0,4.5,0.09,0.025,0.96,0.014,47031970
广东省,Pearl River Basin,良德水库,09-28 00:00,1,30.1,7,6.9,67.1,3.6,1.5,0.02,0.012,0.16,0.006,2309000
广西壮族自治区,Pearl River Basin,龙岩滩水库,09-27 20:00,1,30.0,9,14.6,251.4,30.1,1.9,0.02,0.025,1.66,0.001,2468840
海南省,Pearl River Basin,大隆水库出口,09-27 20:00,1,28.8,8,6.8,110.1,7.5,2.6,0.02,0.016,0.98,0.016,8902490.00
海南省,Pearl River Basin,松涛水库南丰库心,09-28 00:00,0,29.1,8,8.4,84.2,1.3,1.3,0.02,0.008,0.18,0.008,1945620
海南省,Pearl River Basin,大广坝水库库心,09-27 20:00,4,26.3,7,7.9,66.6,124.8,3.8,0.02,0.124,1.69,0.006,7904900
重庆市,Yangtze River Basin,玉滩水库,09-28 00:00,2,31.1,8,8.7,329.0,6.8,4.9,0.02,0.017,0.52,0.045,5135546
四川省,Yangtze River Basin,鲁班岛,09-27 20:00,1,29.4,9,9.0,234.5,11.1,2.9,0.02,0.010,0.45,0.003,8161958
四川省,Yangtze River Basin,邛海湖心,09-27 20:00,2,26.3,8,5.7,314.3,2.1,1.9,0.02,0.012,0.22,0.002,19429
贵州省,Yangtze River Basin,贵铝泵房,09-28 00:00,1,25.9,9,8.0,399.3,22.5,3.2,0.02,0.023,1.45,0.017,2124242
贵州省,Yangtze River Basin,花鱼洞,09-28 00:00,3,25.0,8,4.2,313.9,6.2,2.7,0.02,0.013,1.05,0.007,4909500
贵州省,Pearl River Basin,万峰湖(万峰湖湖心),09-28 00:00,0,27.8,8,9.2,381.4,4.4,1.3,0.02,0.007,2.87,0.052,503601
云南省,Pearl River Basin,阳宗海中,09-28 00:00,2,23.7,8,7.3,419.4,2.4,3.6,0.05,0.028,0.51,0.007,776736
云南省,Dianchi Lake Basin,草海中心,09-28 00:00,3,22.7,8,8.6,412.0,39.4,8.6,0.02,0.074,2.05,0.012,59748100
云南省,Dianchi Lake Basin,灰湾中,09-27 20:00,3,22.9,8,7.6,526.7,24.0,7.1,0.31,0.052,0.86,0.005,19912240
云南省,Dianchi Lake Basin,罗家营,09-28 00:00,3,22.5,8,6.4,505.4,23.8,8.0,0.23,0.052,1.26,0.005,43817400
云南省,Dianchi Lake Basin,观音山东,09-27 20:00,3,21.5,8,6.8,544.2,11.3,6.5,0.34,0.068,1.32,0.004,84949570
云南省,Dianchi Lake Basin,观音山中,09-27 20:00,3,21.9,8,5.8,508.9,15.0,7.0,0.47,0.048,1.63,0.006,81789600
云南省,Dianchi Lake Basin,观音山西,09-28 00:00,3,22.0,8,4.3,507.2,22.7,7.2,0.60,0.064,1.92,0.006,71338800
云南省,Dianchi Lake Basin,海口西,09-28 00:00,3,22.6,8,5.1,513.4,21.1,7.6,0.35,0.054,1.40,0.011,44408500
云南省,Dianchi Lake Basin,滇池南,09-28 00:00,3,22.2,7,5.0,506.5,14.2,6.5,0.27,0.041,1.41,0.003,13098300
云南省,Dianchi Lake Basin,白鱼口,09-28 00:00,3,21.9,8,4.4,538.6,21.3,6.7,0.61,0.064,1.34,0.006,24402540
云南省,Dianchi Lake Basin,断桥,09-28 00:00,3,23.4,8,11.0,521.1,27.8,5.5,0.03,0.068,5.02,0.015,23468000
云南省,Pearl River Basin,抚仙湖心,09-28 00:00,1,22.7,9,7.2,324.9,2.0,1.2,0.02,0.008,0.13,0.002,948789
云南省,Pearl River Basin,杞麓湖心,09-28 00:00,3,22.4,9,8.6,791.4,23.8,7.3,0.02,0.060,2.57,0.004,48856550
云南省,Pearl River Basin,星云湖心,09-28 00:00,3,23.2,9,8.7,642.0,17.3,7.7,0.02,0.087,1.06,0.008,26080060
云南省,Yangtze River Basin,程海湖中,09-27 20:00,2,26.5,9,6.5,1370.1,2.4,5.4,0.02,0.014,0.78,0.003,22124
云南省,Yangtze River Basin,泸沽湖湖心(泸沽湖),09-28 00:00,0,20.5,9,8.3,206.9,2.7,1.0,0.02,0.005,0.17,0.005,788461
云南省,Pearl River Basin,异龙湖中,09-28 00:00,4,24.4,9,7.2,549.9,8.8,12.2,0.02,0.042,1.58,0.014,43003700
云南省,Southwest Rivers,洱海湖心,09-28 00:00,3,23.9,9,5.6,267.5,9.0,7.7,0.03,0.063,0.46,0.032,43950400
陕西省,Yangtze River Basin,石门水库,09-28 00:00,2,25.9,8,5.4,274.2,9.2,1.3,0.02,0.014,0.69,0.042,3019091
